resume_index,job_1_match_score,job_2_match_score,job_3_match_score
1940,"('Senior Bioinformatics Scientist', np.float64(0.9158042886987245))","('Scientist B/ Scientist C - LC-MS/MS & GC-MS/MS', np.float64(0.9045700113262345))","('Azure Devops Engineer', np.float64(0.8654500154151071))"
1941,"('Technical Officer-Injection Moulding', np.float64(0.9838227407675292))","('Technical Officer-Injection Moulding', np.float64(0.9838227407675292))","('Technical Lead RPA', np.float64(0.971318109623856))"
1942,"('Openings for Payments BA', np.float64(0.985509756177349))","('Data Associate', np.float64(0.9803359719332416))","('Data Associate', np.float64(0.9803359719332416))"
1943,"('DATA SCIENCE INTERN', np.float64(0.9285966719302509))","('DATA SCIENCE INTERN', np.float64(0.9285966719302509))","('Business Development Associate', np.float64(0.877549061980486))"
1944,"('Team Member - Culinary (Kitchen Staff)', np.float64(0.8910886634149651))","('Principal Engineer', np.float64(0.8743279418294263))","('Online Space Food Development Internship', np.float64(0.8486883035742759))"
1945,"('AI Technologist', np.float64(0.8926288494471403))","('Java Full Stack Developer', np.float64(0.8818407582298381))","('Senior Analyst - Total Rewards (Market Pricing, Comp recommendation) Individual Contributor role', np.float64(0.8808645535080927))"
1946,"('Cockpit Artificial Intelligence – Application Software Engineer', np.float64(0.8977010823143321))","('Sr ISC Analytics Specialist', np.float64(0.8826167660955143))","('Sr ISC Analytics Specialist', np.float64(0.8826167660955143))"
1947,"('Bench Sales Recruiter(Night Shift)', np.float64(0.9413773648549909))","('Telecaller ( Recruitment Process)', np.float64(0.935518381842341))","('SAP BW + ABAP resource', np.float64(0.9325157131052464))"
1948,"('Financial Business Analyst', np.float64(0.9165506382152253))","('Financial Business Analyst', np.float64(0.9165506382152253))","('R40157/R40158 Oracle Finance Functional Consultant (P2 & P3)', np.float64(0.9095432598291163))"
1949,"('Crypto Analyst', np.float64(0.9647510848876215))","('Crypto Analyst', np.float64(0.9647510848876215))","('Data Security Analyst', np.float64(0.95508723527086))"
1950,"('Customer Success Manager', np.float64(0.9353896960600162))","('Investment Analyst', np.float64(0.9297037052031557))","('Firmware Trainee', np.float64(0.9253480266642724))"
1951,"('Game Designer', np.float64(0.9020324923359787))","('Angular Developer', np.float64(0.8530999901594417))","('Analyst Relations Specialist', np.float64(0.8513530956675079))"
1952,"('Zumba Instructor', np.float64(0.9164829392015379))","('subject Matter Expert Trainer', np.float64(0.9006477614594808))","('SAP SD Consultants (PD)', np.float64(0.8903074615914641))"
1953,"('Zumba Instructor', np.float64(0.9276496741275777))","('Teacher', np.float64(0.8419155820538221))","('Trainer', np.float64(0.8321712556910601))"
1954,"('Kafka', np.float64(0.8702879645523326))","('Celonis: Business /Process Analyst', np.float64(0.8450237542301071))","('Data Steward', np.float64(0.8325264759215717))"
1955,"('Business Development Executive', np.float64(0.9854800840782465))","('Business Development Executive', np.float64(0.9599040094613243))","('Sales Business Development Manager', np.float64(0.9392122428017169))"
1956,"('Customer Care Professional', np.float64(0.8915399241048196))","('Human Resources Specialist', np.float64(0.8845479141772892))","('Corda Developer', np.float64(0.8788716586847203))"
1957,"('Digital Analyst', np.float64(0.9467120881419238))","('Senior US IT Recruiter', np.float64(0.8926672958820643))","('Customer Service Representative', np.float64(0.8916290024059182))"
1958,"('Unreal developer', np.float64(0.9571704299408357))","('Unreal developer', np.float64(0.9571704299408357))","('Shopify Developer', np.float64(0.90723425385055))"
1959,"('Training+Internship', np.float64(0.9697728032882453))","('Training+Internship', np.float64(0.9697728032882453))","('Training+Internships', np.float64(0.926622819936303))"
1960,"('AVP - Strategic  Forecasting (Pharma)', np.float64(0.8711923228024012))","('AVP - Strategic  Forecasting (Pharma)', np.float64(0.8711923228024012))","('Sr. Analyst - Credit Analysis', np.float64(0.8403716458146507))"
1961,"('Customer Support Executive', np.float64(0.9999999761581421))","('Senior Payroll Manager', np.float64(0.9842374682426452))","('Floating Staff Payroll Manager', np.float64(0.9652081489562988))"
1962,"('Actuarial Analyst', np.float64(0.8639631737571))","('Pega Smart Dispute Developers', np.float64(0.8561495828152587))","('Senior Actuarial Analyst', np.float64(0.8522499498000847))"
1963,"('Collibra Developer', np.float64(0.8976366913530586))","('Senior Golang Developer', np.float64(0.894984128700473))","('Senior Software Engineer[Data Plane] |  Sandvine |  Bangalore', np.float64(0.8922592700497666))"
1964,"('Business Analyst', np.float64(0.9164086111693988))","('Payments Tester', np.float64(0.9082920769880148))","('Model Risk Management Manager', np.float64(0.894507207230334))"
1965,"('Senior Analyst- Investment Banking', np.float64(0.8991824479350085))","('MSBI Developer', np.float64(0.8755824905980506))","('Financial Accountant', np.float64(0.8736150253142728))"
1966,"('Financial Accountant', np.float64(0.873540488777175))","('pom', np.float64(0.8678027812667223))","('Junior Architect', np.float64(0.8538221215098066))"
1967,"('Analytics Lead', np.float64(0.8774296501613804))","('Strategy Analyst', np.float64(0.8712661036297586))","('Strategy Analyst', np.float64(0.8712661036297586))"
1968,"('Research Analyst', np.float64(0.9665650189581424))","('Project Architect', np.float64(0.9293938445905974))","('Research Intern', np.float64(0.9273338108858215))"
1969,"('Chef', np.float64(0.8584241368770404))","('Principal Engineer', np.float64(0.8254453675720392))","('Full Stack Engineer', np.float64(0.8237204187662389))"
1970,"('Floating Staff Payroll Manager', np.float64(0.9443757495025623))","('Compensation Analyst', np.float64(0.9387786195681502))","('Human Resources Specialist', np.float64(0.9200229776404232))"
1971,"('Data Base Designer', np.float64(0.8960341456964506))","('Dedicated Sales Representative - International', np.float64(0.8557186902548762))","('Lead Generation Freelancer', np.float64(0.8497674908664067))"
1972,"('Salesforce ERP Consultant', np.float64(0.8441099989845832))","('Business Analyst – BFSI Finance Regulatory Reporting', np.float64(0.827912890859745))","('Process Executive - Credit and Collection', np.float64(0.8216869041524895))"
1973,"('Mainframe System Programmer - CICS', np.float64(0.9635266788306989))","('Mainframe System Programmer - CICS', np.float64(0.9635266788306989))","('Node Js Developer', np.float64(0.9619845528610118))"
1974,"('Adobe Analytics Specialist', np.float64(0.987289814275296))","('Quantitative Researcher', np.float64(0.9629390341821656))","('Data Engineer', np.float64(0.9376722423818926))"
1975,"('Business Development Manager', np.float64(0.9472295811977203))","('Business Development Manager', np.float64(0.8869687511604369))","('Business Development Executive', np.float64(0.878788579776997))"
1976,"('PL/SQL Developer', np.float64(0.9999999761581421))","('PL/SQL Developer', np.float64(0.9999999761581421))","('PL/SQL Developer', np.float64(0.9977321982383728))"
1977,"('Graphic Designer Internship', np.float64(0.9897993121233295))","('Manager-  UI/ UX Design', np.float64(0.9772291219039526))","('Manager-  UI/ UX Design', np.float64(0.9772291219039526))"
1978,"('Accounting Analyst [T500-5422]', np.float64(0.9670338605945706))","('COP - Lead', np.float64(0.9620124730237181))","('Process Executive - Credit and Collection', np.float64(0.9595492752090574))"
1979,"('R40008/R40009/R40010- Senior Internal Audit Analyst', np.float64(0.9978926764157494))","('Manager - Process Risk & Controls', np.float64(0.9131820343666606))","('Senior Associate', np.float64(0.904409422626875))"
1980,"('C++ Developer- Hybrid (3 to 5 Yrs)', np.float64(0.9717954253136116))","('C++ Developer- Hybrid (3 to 5 Yrs)', np.float64(0.9717954253136116))","('Azure Devops Engineer', np.float64(0.9652278448654648))"
1981,"('Graphic Design Intern', np.float64(0.8679172449406917))","('AEM-developer', np.float64(0.8439671719871057))","('AEM-developer', np.float64(0.8439671719871057))"
1982,"('EDI Developer, Associate', np.float64(0.9237564900184494))","('Citrix - Technology Analyst/Lead', np.float64(0.9233350807476602))","('Sr. IICS Data engineer', np.float64(0.9033128055004397))"
1983,"('Full Stack Lead- NodeJs', np.float64(0.8703684641966076))","('Azure Data bricks with AI/ML', np.float64(0.854055242641677))","('Academic Advisor', np.float64(0.8532221366740205))"
1984,"('Project Architect', np.float64(0.9659788364761817))","('Leasing Specialist', np.float64(0.9657662527404728))","('Ping Directory', np.float64(0.9457181868716192))"
1985,"('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9811677916217326))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9811677916217326))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9811677916217326))"
1986,"('Accounting Analyst [T500-5445]', np.float64(0.958975765080474))","('Customer Support Executive', np.float64(0.922412730217652))","('Assistant Manager -Customer Experience', np.float64(0.922150283815264))"
1987,"('Exhibitions India Group - Manager - Sales & Marketing', np.float64(0.9760090418887639))","('Fullstrack Developer(MERN/MEAN)', np.float64(0.9671214552309638))","('Marketing Associate', np.float64(0.9669206659589329))"
1988,"('IR Lead - BCW', np.float64(0.9476520808880162))","('Azure DevOps Engineer', np.float64(0.9369975437407686))","('Azure DevOps Engineer', np.float64(0.9369975437407686))"
1989,"('Chartered Accountant (For Startup) 0-2 Years Exp', np.float64(0.9163912873591527))","('Senior Analyst- Tax Technology', np.float64(0.8986001634280338))","('Senior Analyst- Tax Technology', np.float64(0.8986001634280338))"
1990,"('Construction Supervisor', np.float64(0.9097003455655132))","('Junior Architect', np.float64(0.8929930207981744))","('Big Data Engineer with GCP', np.float64(0.8820917807355351))"
1991,"('Senior Manager - Finance and Accounts', np.float64(0.9481879109453778))","('Technical Lead', np.float64(0.9389367442472799))","('VP / AVP – Financial Research (Remote Working Option)', np.float64(0.9318271204279492))"
1992,"('Quality Coach/Analyst- Service Delivery Operations', np.float64(0.7190730231118914))","('Quality Coach/Analyst- Service Delivery Operations', np.float64(0.719068909392751))","('Techno Functional Analyst', np.float64(0.701118054812435))"
1993,"('Junior Architect', np.float64(0.8932728375781209))","('MBSE', np.float64(0.8728876037146684))","('MBSE', np.float64(0.8728876037146684))"
1994,"('Inside Sales Manager', np.float64(0.9135571592209122))","('Data Analyst', np.float64(0.9038132936920186))","('Data Analyst', np.float64(0.9038132936920186))"
1995,"('Hardware Power Electronics', np.float64(0.9359463222048545))","('BLE Mesh Testing', np.float64(0.8904115337463445))","('Embedded Engineer Timing & Sync', np.float64(0.8423587429838191))"
1996,"('Performance Tester', np.float64(0.9091633416771021))","('Performance Tester', np.float64(0.9091633416771021))","('Developer', np.float64(0.902465800479839))"
1997,"('Business Development Executive', np.float64(0.9418683740618842))","('Salesforce Developer', np.float64(0.9235936461203416))","('Salesforce Developer', np.float64(0.9235936461203416))"
1998,"('Marketing Analyst', np.float64(0.9833740401970137))","('Senior Technical Architect', np.float64(0.9581858511883816))","('Data Labeler', np.float64(0.9573882344428154))"
1999,"('Model Risk Management', np.float64(0.9294309399259804))","('Human Resources Specialist', np.float64(0.9100161685338161))","('Compensation Analyst', np.float64(0.8852328109477685))"
2000,"('Senior Security Engineer', np.float64(0.9458275195282225))","('Senior Product Support Analyst', np.float64(0.9035286497524082))","('Senior Product Support Analyst', np.float64(0.9035286497524082))"
2001,"('Platform Engineer', np.float64(0.9464379155989854))","('Smart Contract Engineer', np.float64(0.9338013029137278))","('Smart Contract Engineer', np.float64(0.9338013029137278))"
2002,"('Back End Developer', np.float64(0.8693535246644668))","('Back End Developer', np.float64(0.8693535246644668))","('Data Engineer/Senior Data Engineer', np.float64(0.8675191507802498))"
2003,"('Vessel Performance Analyst', np.float64(0.961465044234495))","('Senior Software Developer - Big Data App JAVA Full Stack', np.float64(0.9608990570700117))","('Business Development Manager', np.float64(0.9392002852640922))"
2004,"('Mumbai', np.float64(0.8319849548157001))","('MSP Program Manager', np.float64(0.785076513960186))","('Community Relations Intern', np.float64(0.7846158364985133))"
2005,"('Lead Generation Manager', np.float64(0.9688012740800389))","('Sales and BD- Influencer Marketing', np.float64(0.9523371590009492))","('Business Development Manager', np.float64(0.9237288006408225))"
2006,"('IT services Sales/ Client Relationship Management / Strategic Alliances / Account Management', np.float64(0.9520157166897477))","('IT services Sales/ Client Relationship Management / Strategic Alliances / Account Management', np.float64(0.9520157166897477))","('Business Development Specialist (UPS)', np.float64(0.924475822867768))"
2007,"('Performance Tester', np.float64(0.9999999165534973))","('Performance Test Analyst', np.float64(0.9990105346483991))","('Quality Assurance Test Lead, Data and BI projects', np.float64(0.9951859870287647))"
2008,"('Senior Data Engineer', np.float64(0.9788797273046992))","('Data Engineer', np.float64(0.9786978497749997))","('Data Engineer', np.float64(0.9786978497749997))"
2009,"('R&D Engineer', np.float64(0.9792372902521542))","('Artificial Intelligence (AI) Machine Learning Intern', np.float64(0.9679463071785734))","('AR/VR Technical Developer', np.float64(0.9594602995842445))"
2010,"('Human Resources Intern', np.float64(0.9591219273412881))","('Human Resources Specialist', np.float64(0.9364911214683402))","('Interim Legal Counsel', np.float64(0.9335653493986833))"
2011,"('Retail Sales Specialist', np.float64(0.9757286667823791))","('Senior Site Reliability Engineer', np.float64(0.971618353821251))","('Shopify Developer', np.float64(0.9666700403336091))"
2012,"('Senior Business Analyst- Pre Sales', np.float64(0.9188148021139126))","('News Reporter', np.float64(0.912152053556569))","('Executive Assistant to U.S. Attorneys', np.float64(0.9089288283799474))"
2013,"('Inside Sales Representative (Night Shift)', np.float64(0.8447445903584999))","('Senior Product Marketer', np.float64(0.8432594091020124))","('Sales Associate', np.float64(0.8279399855134305))"
2014,"('RPA Reliability Engineer', np.float64(0.9664775929169447))","('Full Stack Developer (Immediate Joiner)', np.float64(0.963275764548172))","('Clinical Data Management Lead', np.float64(0.944470523718608))"
2015,"('Hiring RPA & Artificial Intelligence Trainer - PAN India', np.float64(0.9829608641833023))","('Research Analyst', np.float64(0.9630911668904791))","('Sales executive', np.float64(0.9611666340735344))"
2016,"('Senior Business Analyst', np.float64(0.9852425684590521))","('Senior Business Analyst', np.float64(0.9852425684590521))","('Power BI Developer', np.float64(0.9752204775810241))"
2017,"('Chat process executive (fresher)', np.float64(0.8320718808678162))","('Business Analyst - Insurance - 1 to 3 Years - Noida', np.float64(0.8236651100286917))","('Automation Engineer | 2022 & 2021 Batch - Bangalore/ Gurugram', np.float64(0.815417314975438))"
2018,"('Sales Intern', np.float64(0.9593745350226329))","('Sales Associate', np.float64(0.9327870269367093))","('Business Development Associate', np.float64(0.9268437883941679))"
2019,"('Analyst Relations Specialist', np.float64(0.952575347677109))","('Customer Support Executive', np.float64(0.939200393452446))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9347794276516733))"
2020,"('Assistant/Associate/Professor- Interior Design', np.float64(0.9033301444085352))","('Junior Architect', np.float64(0.8820392836770982))","('Head of Computer Vision', np.float64(0.870187629337831))"
2021,"('Senior Payroll Manager', np.float64(0.8407912279131322))","('Metadata Rave Developer', np.float64(0.8311411583537487))","('Senior Full Stack Developer(6 month contract) -Ruby Developer :WFH Permanent -UK Client', np.float64(0.8299386316743362))"
2022,"('Financial Controller', np.float64(0.9159852399990365))","('VP / AVP – Financial Research (Remote Working Option)', np.float64(0.90097856033872))","('Associate Data Feed Specialist', np.float64(0.8982747139330474))"
2023,"('Trade Marketing Manager', np.float64(0.9092026196103031))","('ISS Navigation Engineer', np.float64(0.8814788213682127))","('ISS Navigation Engineer', np.float64(0.8814788213682127))"
2024,"('ISS Navigation Engineer', np.float64(0.8674013488854682))","('ISS Navigation Engineer', np.float64(0.8674013488854682))","('Flight Management System Designer', np.float64(0.8534639078197441))"
2025,"('Back End Developer', np.float64(0.9838528445899112))","('WebMethods Developer', np.float64(0.9694689428823018))","('WebMethods Developer', np.float64(0.9694689428823018))"
2026,"('Senior/Lead Data Engineer(Snowflake/ETL)', np.float64(0.9652872070807779))","('Senior/Lead Data Engineer(Snowflake/ETL)', np.float64(0.9652872070807779))","('Senior HR Data Analyst', np.float64(0.9638306273514492))"
2027,"('Software Engineer (Azure Data factory)', np.float64(0.9480377490354184))","('SQL Database Administrator', np.float64(0.9432095868062738))","('Node.js', np.float64(0.9389063300837064))"
2028,"('Content writer', np.float64(0.912247435715349))","('Head of Prevention', np.float64(0.8696859785282288))","('Application Security Analyst', np.float64(0.8641521752606))"
2029,"('Territory sales (Ed-tech)', np.float64(0.969139636800687))","('Customer Service Representative', np.float64(0.9611102569051766))","('Research Analyst', np.float64(0.9316787136684455))"
2030,"('Account Executive', np.float64(0.9320377315730418))","('Data Engineer', np.float64(0.9200486387979938))","('Accounting Analyst [T500-5445]', np.float64(0.9046748000933105))"
2031,"('Digital Analyst', np.float64(0.8365851380576502))","('International voice Process', np.float64(0.8296658024644645))","('Robotic Process Automation Consultant', np.float64(0.8252804992916033))"
2032,"('Sr. Executive - Vehicle Engineering', np.float64(0.9972386121749878))","('Simulation Integration Engineer', np.float64(0.983621871471405))","('HIL Testing-EV', np.float64(0.9775579333305359))"
2033,"('OTC - Billing', np.float64(0.95525295240099))","('Hadoop Admin', np.float64(0.9521565827666243))","('Hadoop Admin', np.float64(0.9521565827666243))"
2034,"('Database Developer', np.float64(0.9627019413933181))","('RAVE Programmer', np.float64(0.9466756651175698))","('RAVE Programmer', np.float64(0.9466756651175698))"
2035,"('QNX, C++, Infotainment/ Instrument cluster development', np.float64(0.9824852021015017))","('QNX, C++, Infotainment/ Instrument cluster development', np.float64(0.9824852021015017))","('QNX, C++, Infotainment/ Instrument cluster development', np.float64(0.9824852021015017))"
2036,"('Salesforce (Java Script) Web Developer', np.float64(0.9247408531240814))","('Salesforce (Java Script) Web Developer', np.float64(0.9247408531240814))","('Salesforce (Java Script) Web Developer', np.float64(0.9247408531240814))"
2037,"('Construction Supervisor', np.float64(0.9671502116487785))","('Data Labeler', np.float64(0.9364927511887662))","('Project Manager', np.float64(0.9074377725142908))"
2038,"('Murex Front office Consultant', np.float64(0.9898420110200425))","('Murex Front office Consultant', np.float64(0.9898420110200425))","('Murex Front office Consultant', np.float64(0.9898420110200425))"
2039,"('Director of Operations', np.float64(0.9128001825120702))","('Kafka', np.float64(0.9082495722610624))","('Global Supply Chain Analyst - Excel & Power BI', np.float64(0.8483550482487))"
2040,"('Senior Clinical Data Coordinator', np.float64(0.950435245469876))","('Marketing And Public Relations Manager', np.float64(0.9496656411229786))","('Azure Data Engineer', np.float64(0.9265418914053721))"
2041,"('Senior Software Engineer, Healthcare Domain', np.float64(0.9502621528336688))","('MIS Executive (Bizom)', np.float64(0.9360097456278839))","('People Soft Developer', np.float64(0.933470445603649))"
2042,"('Phone Banking Officer', np.float64(0.8825684327204826))","('Senior Analyst- Investment Banking', np.float64(0.8482946071367533))","('Relationship Manager - Wholesale Banking Group', np.float64(0.8440105151722963))"
2043,"('Lecturer', np.float64(0.8269129686951607))","('Lecturer', np.float64(0.8269129686951607))","('STEM and Robotics Mentor', np.float64(0.824918012820345))"
2044,"('Senior Manager', np.float64(0.9064108620991655))","('Content Specialist & Digital Marketer', np.float64(0.8822974195501456))","('Shopify Developer (Liquid): - UK client - WFH - Permanent position', np.float64(0.8819351016928147))"
2045,"('Project Manager', np.float64(0.9755608881953344))","('Technical Team Lead', np.float64(0.9724944222273915))","('Technical Team Lead', np.float64(0.9724944222273915))"
2046,"('Frontend Developer', np.float64(0.8860857529202957))","('Frontend Developer', np.float64(0.8860857529202957))","('Frontend Developer', np.float64(0.8860857529202957))"
2047,"('Venue Manager', np.float64(0.8905812185037021))","('Shopify Developer', np.float64(0.8382105710752191))","('Backend Developer (Laravel)', np.float64(0.8223824434203433))"
2048,"('Senior Account Analyst', np.float64(0.9420021061600458))","('Senior Account Analyst', np.float64(0.9420021061600458))","('Customer Service Representative', np.float64(0.9374143757177119))"
2049,"('Senior Academic Counselor', np.float64(0.8268490552313986))","('Academic Advisor', np.float64(0.808107778744846))","('Business Development Specialist', np.float64(0.7931705650087871))"
2050,"('STEM and Robotics Mentor', np.float64(0.9451467718635745))","('STEM and Robotics Mentor', np.float64(0.9451467718635745))","('Lecturer', np.float64(0.9236585232191727))"
2051,"('Recruiter', np.float64(0.8545841733951608))","('Intern', np.float64(0.8521603216800395))","('Interim Legal Counsel', np.float64(0.8504531379001319))"
2052,"('IOS Developer for cutting edge Voice App VC - funded', np.float64(0.9417507240675255))","('Senior Embedded Engineer', np.float64(0.9148193294575754))","('Internet of Things Engineer', np.float64(0.9008078932762146))"
2053,"('Duty medical officer', np.float64(0.7769245155989313))","('Game Developer', np.float64(0.770210546771243))","('DATA SCIENCE INTERN', np.float64(0.7492161561567233))"
2054,"('Interim Legal Counsel', np.float64(0.9704926434634518))","('Customer Service Representative', np.float64(0.9697985210864531))","('Lead Generation', np.float64(0.9642369237894065))"
2055,"('Recruitment Consultant | Clinical Nurse', np.float64(0.7850353461429317))","('Business Development Executive', np.float64(0.7740403447712622))","('Application Support Specialist', np.float64(0.7661996898110872))"
2056,"('Business Development Manager', np.float64(0.9458185523856645))","('Business Development Manager', np.float64(0.9458185523856645))","('Sales Business Development Manager', np.float64(0.9137345921471954))"
2057,"('Clinical Data Management Lead', np.float64(0.9401961079004877))","('Python Developer', np.float64(0.9310040498468672))","('Python Developer', np.float64(0.9310040498468672))"
2058,"('Associate Engineer Analysis', np.float64(0.9699486219244521))","('Engineer R&D', np.float64(0.9619519692878067))","('ForgeRock Engineer', np.float64(0.9412064248005868))"
2059,"('Python Web scraping | Crawling - Id: 7ec3', np.float64(0.7886392991902305))","('Python Web scraping | Crawling - Id: 7ec3', np.float64(0.7886392991902305))","('Data Visualization', np.float64(0.7744785158377744))"
2060,"('Senior Credit Risk Analyst', np.float64(0.9248848473242106))","('Senior Data Quality Analyst', np.float64(0.9112870793169827))","('Senior Analyst', np.float64(0.9099140391589897))"
2061,"('Virtual Assistant (Cold Callers||night shift||females only||work from office)', np.float64(0.9730826227367109))","('Python Developer', np.float64(0.9539055385604153))","('Azure DevOps Engineer', np.float64(0.9495738039836882))"
2062,"('Data Analyst - Motor Underwriting', np.float64(0.98052921446938))","('Data Analyst - Motor Underwriting', np.float64(0.98052921446938))","('Data Analyst - Motor Underwriting', np.float64(0.98052921446938))"
2063,"('STEM and Robotics Mentor', np.float64(0.8476719434734239))","('STEM and Robotics Mentor', np.float64(0.8476719434734239))","('Professional Teacher', np.float64(0.8249812332617422))"
2064,"('Mobile Programming Architect (Android, iOS, Ionic)', np.float64(0.9972018301103177))","('Application Developer', np.float64(0.9886401653289795))","('Android Developer', np.float64(0.9755585195466525))"
2065,"('Captain', np.float64(0.8684527534384303))","('Accounts Manager', np.float64(0.8587729256129225))","('Senior Analyst - Procurement Operations', np.float64(0.8312224535136286))"
2066,"('Technical Delivery Leader - Data Engineer', np.float64(0.9615954964641344))","('Senior Product Support Analyst', np.float64(0.9275825763482443))","('Senior Product Support Analyst', np.float64(0.9275825763482443))"
2067,"('Digital Marketing Executive/Manager', np.float64(0.9644829975077346))","('Amazon Branding Specialist / Private Labelling', np.float64(0.9510209852343838))","('Digital Marketing Lead', np.float64(0.9451583464227851))"
2068,"('Database Developer', np.float64(0.9650334027623517))","('Director - Global Pharma CI', np.float64(0.9443693512369558))","('Director - Global Pharma CI', np.float64(0.9443693512369558))"
2069,"('Business Analyst', np.float64(0.8954081269586641))","('Business Analyst', np.float64(0.8954081269586641))","('Senior Analyst-Equity Research (Middle Eastern Region)', np.float64(0.8928906290232862))"
2070,"('Tax Specialist (Direct Tax)', np.float64(0.9408753764758935))","('Project Manager - Planning - Gurgaon', np.float64(0.9395080590533075))","('Senior Business Analyst', np.float64(0.9349981821238191))"
2071,"('Business Development Specialist', np.float64(0.8561355451009489))","('Senior Academic Counselor', np.float64(0.8443325159953691))","('Elementary School Teacher', np.float64(0.8061247514803414))"
2072,"('Functional Safety Engineer', np.float64(0.972401516342575))","('Model Risk Management', np.float64(0.8515173061340827))","('Senior Analyst/Lead Analyst (Pricing Valuation)', np.float64(0.8251079149662739))"
2073,"('Chef', np.float64(0.8312820622423891))","('Principal Engineer', np.float64(0.8018413094299025))","('Team Member - Culinary (Kitchen Staff)', np.float64(0.7618211174259251))"
2074,"('Principal Engineer', np.float64(0.9561936058831177))","('Marketing Associate', np.float64(0.9485739132658573))","('Captain', np.float64(0.910296273217456))"
2075,"('MBSE', np.float64(0.9954460620880127))","('MBSE', np.float64(0.9954460620880127))","('EOL implementation (ECU Flash) – Mechatronics Engineer', np.float64(0.979796108103234))"
2076,"('Lead Data Scientist', np.float64(0.959142358654347))","('Lead Data Scientist', np.float64(0.959142358654347))","('Finance Intern', np.float64(0.9535624108079774))"
2077,"('Assistant Professor - Computer Science Engineering (CSE)', np.float64(0.9223794109918672))","('Affiliate Marketing Manager', np.float64(0.9009830033337362))","('Assistant Professor of Computer Science', np.float64(0.8791523060517703))"
2078,"('Data Modeller', np.float64(0.9568985583170251))","('Java Backend', np.float64(0.9388055158285382))","('CDM Programmer SAS', np.float64(0.9358355212243338))"
2079,"('Sports Coach', np.float64(0.8324451441251628))","('Business Associate', np.float64(0.812033371568982))","('Research Engineer 2', np.float64(0.7975608380490784))"
2080,"('Corda Developer', np.float64(0.9193747196467262))","('BASIS SOLMAN', np.float64(0.9062571153327643))","('BASIS SOLMAN', np.float64(0.9062571153327643))"
2081,"('Flight Management System Designer', np.float64(0.8880796903507534))","('Flight Management System Designer', np.float64(0.8880796903507534))","('Operations Associate', np.float64(0.879424939800866))"
2082,"('Executive Assistant', np.float64(0.9395074734822448))","('Executive Assistant', np.float64(0.9395074734822448))","('Executive Assistant', np.float64(0.9395074734822448))"
2083,"('Content Translator- Kannada', np.float64(0.8872421611882488))","('Analyst Relations Specialist', np.float64(0.8724763826347581))","('Content Curation-Analyst', np.float64(0.858900794377245))"
2084,"('Intern', np.float64(0.946553126837375))","('Human Resources Specialist', np.float64(0.9173615274340565))","('Anaplan Architect', np.float64(0.9141211134065825))"
2085,"('Equity Research Analyst', np.float64(0.9528654140832036))","('Floating Staff Payroll Manager', np.float64(0.881556256838922))","('Account Executive', np.float64(0.8762767941594952))"
2086,"('Growth Manager', np.float64(0.9596248994614056))","('Business Analyst -BFSI Domain', np.float64(0.9461078899430011))","('Youtube Manager', np.float64(0.930551341110004))"
2087,"('Equity Research Analyst', np.float64(0.9180468121507335))","('Manager, Data Science', np.float64(0.9146460234564742))","('Manager, Data Science', np.float64(0.9146460234564742))"
2088,"('Data Manager', np.float64(0.8765196278014691))","('Territory Sales Manager', np.float64(0.8645315689676567))","('Sr. Associate; Data Analyst (Google Analytics)', np.float64(0.854677972999263))"
2089,"('Algorithm Developer', np.float64(0.7989474404665076))","('Data Science', np.float64(0.757942349532471))","('Hydraulic Application Engineer', np.float64(0.7368566089537334))"
2090,"('Sales Head', np.float64(0.9305820632406336))","('OTC-Collections', np.float64(0.9259763851289226))","('Senior Payroll Manager', np.float64(0.9183745142485434))"
2091,"('Robotics and Electronics Educator', np.float64(0.959348660779595))","('Robotics and Electronics Educator', np.float64(0.959348660779595))","('Operations and Customer Success Associate', np.float64(0.9516390454335055))"
2092,"('Data Visualization', np.float64(0.7493478040983982))","('AEM-developer', np.float64(0.7191580733721143))","('AEM-developer', np.float64(0.7191580733721143))"
2093,"('Professional Teacher', np.float64(0.7798754093597575))","('Elementary School Teacher', np.float64(0.7755772922288486))","('Teacher', np.float64(0.7348207262425648))"
2094,"('Sales - Quality Analyst', np.float64(0.939876369513788))","('Sales - Quality Analyst', np.float64(0.939876369513788))","('Business Development Manager: B2B Sales', np.float64(0.9302356615532984))"
2095,"('ServiceNow Business Analyst - CMDB, CSDM', np.float64(0.9326856501170488))","('ServiceNow Business Analyst - CMDB, CSDM', np.float64(0.9326856501170488))","('ServiceNow Business Analyst - CMDB, CSDM', np.float64(0.9326856501170488))"
2096,"('Data Manager', np.float64(0.9397262174708646))","('Executive Assistant to U.S. Attorneys', np.float64(0.9163931153539155))","('Executive Assistant to U.S. Attorneys', np.float64(0.9163931153539155))"
2097,"('Uipath+Splunk+Python', np.float64(0.9813791873716946))","('Engineer (Mid)', np.float64(0.9778265887958142))","('Staff Engineer (Frontend- React)', np.float64(0.9760323802471232))"
2098,"('Informatica MDM', np.float64(0.9999999761581421))","('STIBO CDM Developer', np.float64(0.9579673767089844))","('Senior Technical Architect', np.float64(0.9480477479229346))"
