resume_index,job_1_match_score,job_2_match_score,job_3_match_score
68,"('Product Support Engineer', np.float64(0.8086137361149013))","('Customer Service Representative', np.float64(0.7992763625128211))","('Shopify Developer (Liquid): - UK client - WFH - Permanent position', np.float64(0.7908125424669916))"
69,"('Qlik Developer(Analytics & Visualization Specialist)', np.float64(0.9310292031604555))","('Qlik Developer(Analytics & Visualization Specialist)', np.float64(0.9310292031604555))","('Qliksense Developer', np.float64(0.9128152801824625))"
70,"('Looking for Mentors/Faculty - Part time', np.float64(0.8613047119707323))","('Senior Academic Counselor', np.float64(0.8567724451267558))","('Educational Counselor', np.float64(0.8518940328878076))"
71,"('Big Data,Java Developer', np.float64(0.9480839667389118))","('Operations Engineer cloud service', np.float64(0.9461175696376293))","('Unity 3D Developer', np.float64(0.9408867366862033))"
72,"('Officer - Business Finance Planning & Analysis', np.float64(0.937430010934614))","('Officer - Business Finance Planning & Analysis', np.float64(0.937430010934614))","('Officer - Business Finance Planning & Analysis', np.float64(0.937430010934614))"
73,"('Senior Analyst', np.float64(0.9034962509256594))","('Sales executive', np.float64(0.8968851081971563))","('Senior Research Analyst- Cost Model', np.float64(0.8957709497032327))"
74,"('Senior Actuarial Analyst', np.float64(0.8076012076875148))","('Senior Actuarial Analyst', np.float64(0.8076012076875148))","('Pega Smart Dispute Developers', np.float64(0.7887391872731593))"
75,"('Principal Engineer', np.float64(0.6448459031262939))","('Senior Machine Learning Engineer', np.float64(0.6167911351372377))","('Assistant Vice President', np.float64(0.5839359592293332))"
76,"('Backoffice Sales Coordinator - ( Electrical )', np.float64(0.9326010733491891))","('Feild sales', np.float64(0.9313993013348326))","('Sales Associate', np.float64(0.9242772927754359))"
77,"('Assistant Vice President - Procure to Pay', np.float64(0.8782814591151501))","('AVP - Strategic  Forecasting (Pharma)', np.float64(0.8461257245793837))","('AVP - Strategic  Forecasting (Pharma)', np.float64(0.8461257245793837))"
78,"('STEM and Robotics Mentor', np.float64(0.8542187882251684))","('STEM and Robotics Mentor', np.float64(0.8542187882251684))","('Full Stack Lead- NodeJs', np.float64(0.8010119038543921))"
79,"('Human Resources Intern', np.float64(0.8174577315842284))","('Human Resources Intern', np.float64(0.8174577315842284))","('Solarwind Development Engineer', np.float64(0.8174450513080636))"
80,"('Part-Time Recruiter', np.float64(0.9706517051811753))","('Dellboomi Integration Developer', np.float64(0.966925716845519))","('Dellboomi Integration Developer', np.float64(0.966925716845519))"
81,"('Duty medical officer', np.float64(0.8354624021574509))","('Intern', np.float64(0.673152705693641))","('Business Development Executive', np.float64(0.6608194872366169))"
82,"('Murex Datamart', np.float64(0.9078300547087411))","('Manager, Data Science', np.float64(0.8767085060489467))","('Manager, Data Science', np.float64(0.8767085060489467))"
83,"('Odoo Developer', np.float64(0.9628121867903511))","('Presales Engineer', np.float64(0.9604758575078735))","('RAVE Programmer', np.float64(0.951730122118489))"
84,"('C, C ++, Java, Ruby, Python, Matlab, Target-Link, Software Engineer', np.float64(0.8549351266524734))","('C, C ++, Java, Ruby, Python, Matlab, Target-Link, Software Engineer', np.float64(0.8549351266524734))","('Associate Engineer Analysis', np.float64(0.8324454201061734))"
85,"('Murex MXML analyst', np.float64(0.8760109797091954))","('Technical Architect', np.float64(0.8637071418105623))","('Cold fusion developer(3-10yrs)-immediate to 15days', np.float64(0.8548858681537352))"
86,"('Application Support Specialist', np.float64(0.9860505382838353))","('Associate Professor of Computer Science & MBA', np.float64(0.972657756950806))","('Associate Professor of Computer Science & MBA', np.float64(0.972657756950806))"
87,"('Interim Legal Counsel', np.float64(0.966606358152922))","('Executive Assistant to U.S. Attorneys', np.float64(0.9554059854471443))","('Executive Assistant to U.S. Attorneys', np.float64(0.9554059854471443))"
88,"('Youtube Manager', np.float64(0.9708426864024622))","('Adobe Campaign Developer - for US based Banking project', np.float64(0.9008753012026935))","('Youtube Marketer/Consultant', np.float64(0.8655317688392836))"
89,"('Application Manager - Food & Nutrition', np.float64(0.8179734885254941))","('Space Food R&D Internship (Online)', np.float64(0.8053195870168461))","('Online Space Food Development Internship', np.float64(0.8005665588865317))"
90,"('Freight Broker', np.float64(0.8268128567790196))","('US IT Recruiter', np.float64(0.820486174728837))","('Flutter Developer', np.float64(0.8120441364201646))"
91,"('Embedded Engineer', np.float64(0.9003462969742932))","('QNX, C++, Infotainment/ Instrument cluster development', np.float64(0.8670971833914609))","('QNX, C++, Infotainment/ Instrument cluster development', np.float64(0.8670971833914609))"
92,"('Educational Counselor', np.float64(0.9371172546375177))","('Field Marketing Executive', np.float64(0.9006271317032734))","('Executive Assistant', np.float64(0.8754105009538602))"
93,"('Associate Engineer Analysis', np.float64(0.9470413230660787))","('Manager - Performance Marketing', np.float64(0.883523185531191))","('Acoustics Engineer - Building Science', np.float64(0.8639396481985856))"
94,"('Sales Executive', np.float64(0.8904942514166517))","('Marketing Associate', np.float64(0.8863228387251116))","('Business Development Manager', np.float64(0.8809827877279891))"
95,"('Senior Product Marketer', np.float64(0.9389015094243122))","('Financial Controller', np.float64(0.9343298449419339))","('VP / AVP – Financial Research (Remote Working Option)', np.float64(0.9263925884419342))"
96,"('Subject Matter Expert', np.float64(0.9569404566629676))","('Content writer', np.float64(0.9351919806094748))","('Freight Analyst', np.float64(0.9266562005123998))"
97,"('Customer Service Representative', np.float64(0.9592551495565377))","('Work Force Management (WFM)Analyst-Bangalore-Immediate Joiners', np.float64(0.9574061059913062))","('OutSystems Low Code - Immediate Joiners', np.float64(0.9563490851245473))"
98,"('Fresher/ Exp Back office assistant at Ahmedabad salary upto 15k', np.float64(0.9828420916529035))","('Customer Service Specialist(SDA)', np.float64(0.9611347535542086))","('Service Desk Analyst', np.float64(0.9611347535542086))"
99,"('Data Analyst', np.float64(0.8857058234211657))","('Data Analyst', np.float64(0.8857058234211657))","('Data Analyst', np.float64(0.8857058234211657))"
100,"('Account Manager', np.float64(0.9793663598391268))","('Customer Success Specialist / Analyst', np.float64(0.9257918371502903))","('Customer Success Specialist / Analyst', np.float64(0.9257918371502903))"
101,"('Computer Aided Design Designer', np.float64(0.704726659729672))","('Volunteers', np.float64(0.6451122012035121))","('Customer Relations Executive', np.float64(0.6177654065289263))"
102,"('Accounts Manager', np.float64(0.8515397662509019))","('Kafka', np.float64(0.828646522421973))","('Data Analyst / Senior Data Analyst', np.float64(0.8283774292714899))"
103,"('Chartered Financial Analyst', np.float64(0.9135984965467083))","('SOC Senior Analyst', np.float64(0.875973836927919))","('Territory Sales Manager', np.float64(0.8440242101728754))"
104,"('Mass Tort Data Mining Specialist', np.float64(0.8956545600620897))","('Mass Tort Data Mining Specialist', np.float64(0.8956545600620897))","('Claims Associate', np.float64(0.8609531244287515))"
